bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,modelDate,model_name,numberOfDoors,sell_id,vehicleTransmission,vendor,pts,gear,wheel,gearbox,price
седан,AUDI,зелёный,3.0,290,GASOLINE,174480,2009,A6,4.0,1102192789,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,788000
внедорожник 5 дв.,AUDI,серый,3.0,249,DIESEL,15,2020,Q8,5.0,1102712816,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,7149000
внедорожник 5 дв.,AUDI,серый,2.0,180,GASOLINE,65755,2017,Q3,5.0,1102709391,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1920000
внедорожник 5 дв.,AUDI,белый,2.0,211,GASOLINE,107366,2011,Q3,5.0,1101732831,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,949000
седан,AUDI,коричневый,1.8,170,GASOLINE,77000,2014,A4,4.0,1102632019,VARIATOR,EUROPEAN,1,FORWARD_CONTROL,LEFT,CVT,895000
седан,AUDI,чёрный,1.8,170,GASOLINE,79720,2013,A4,4.0,1102703799,VARIATOR,EUROPEAN,1,FORWARD_CONTROL,LEFT,CVT,923000
седан,AUDI,чёрный,1.8,120,GASOLINE,98100,2014,A4,4.0,1101889217,VARIATOR,EUROPEAN,1,FORWARD_CONTROL,LEFT,CVT,895000
внедорожник 5 дв.,HONDA,серебристый,2.0,150,GASOLINE,220000,2010,CR_V,5.0,1102286526,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,850000
седан,HONDA,чёрный,1.8,140,GASOLINE,305482,2007,CIVIC,4.0,1102708787,MECHANICAL,JAPANESE,1,FORWARD_CONTROL,LEFT,MT,360000
хэтчбек 5 дв.,HONDA,чёрный,1.8,140,GASOLINE,175000,2010,CIVIC,5.0,1102342875,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,650000
внедорожник 5 дв.,HONDA,красный,2.0,150,GASOLINE,36474,2013,CR_V,5.0,1102160258,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,1455000
внедорожник 5 дв.,HONDA,чёрный,3.5,257,GASOLINE,140000,2008,PILOT,5.0,1102158996,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,799000
внедорожник 5 дв.,HONDA,серый,1.5,190,GASOLINE,1008,2020,CR_V,5.0,1102564622,VARIATOR,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,CVT,2400000
внедорожник 5 дв.,HONDA,синий,2.0,150,GASOLINE,71000,2013,CR_V,5.0,1102440354,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,1294000
седан,HONDA,коричневый,2.0,155,GASOLINE,325557,2007,ACCORD,4.0,1102579135,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,510000
седан type-s,HONDA,белый,2.4,201,GASOLINE,124000,2011,ACCORD,4.0,1101844279,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,895000
седан,HONDA,чёрный,2.4,201,GASOLINE,144356,2008,ACCORD,4.0,1101965057,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,580000
внедорожник 5 дв.,HONDA,серый,2.0,150,GASOLINE,155000,2006,CR_V,5.0,1101888108,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,688000
седан,HONDA,серебристый,1.8,140,GASOLINE,136332,2007,CIVIC,4.0,1102486092,AUTOMATIC,JAPANESE,0,FORWARD_CONTROL,LEFT,AT,475000
внедорожник 5 дв.,HONDA,чёрный,2.4,190,GASOLINE,117445,2013,CR_V,5.0,1102605911,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,1515000
внедорожник 5 дв.,HONDA,голубой,2.4,182,GASOLINE,118990,2011,CR_V,5.0,1102177729,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,950000
внедорожник 5 дв.,HONDA,серый,2.4,194,GASOLINE,95417,2014,CROSSTOUR,5.0,1102584554,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,1470000
седан,HONDA,синий,2.0,156,GASOLINE,246000,2011,ACCORD,4.0,1102446049,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,780000
седан,HONDA,синий,1.8,140,GASOLINE,128164,2008,CIVIC,4.0,1102494458,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,505000
хэтчбек 5 дв.,HONDA,голубой,1.3,83,GASOLINE,208577,2008,JAZZ,5.0,1102187381,VARIATOR,JAPANESE,1,FORWARD_CONTROL,LEFT,CVT,372000
седан,HONDA,чёрный,2.4,200,GASOLINE,222167,2011,ACCORD,4.0,1102712991,AUTOMATIC,JAPANESE,0,FORWARD_CONTROL,LEFT,AT,797000
внедорожник 5 дв.,HONDA,чёрный,2.4,162,GASOLINE,226742,2002,CR_V,5.0,1102390062,AUTOMATIC,JAPANESE,1,ALL_WHEEL_DRIVE,LEFT,AT,507000
хэтчбек 5 дв.,HONDA,коричневый,1.8,142,GASOLINE,158000,2012,CIVIC,5.0,1102162143,AUTOMATIC,JAPANESE,1,FORWARD_CONTROL,LEFT,AT,765000
